Crop,Season,State,Area,Soil Type,Pesticide Usage,pH,Temperature,Fertilizer Usage,Price,Rainfall
Rice,Winter     ,Meghalaya,46424,Black Soil,low,Low,Medium,Low,2704.490267,781.2
Sugarcane,Whole Year ,Meghalaya,105,Black Soil,high,Average,Low,High,2504.232507,602.7
Wheat,Rabi       ,Meghalaya,422,Red/Yellow Soil,high,Low,Medium,Low,2681.654095,1041.4
Banana,Whole Year ,Tamil Nadu,92463,Alluvial Soil,low,Average,Medium,High,2519.322257,701.2
Cotton(lint),Kharif     ,Tamil Nadu,116495,Alluvial Soil,low,High,High,Low,2671.283708,603.3
Cotton(lint),Rabi       ,Tamil Nadu,34468,Alluvial Soil,high,High,Low,High,2255.679154,775.9
Groundnut,Kharif     ,Tamil Nadu,215825,Black Soil,high,Low,High,Low,2671.145826,736.6
Groundnut,Rabi       ,Tamil Nadu,120796,Black Soil,low,High,Low,Medium,2798.324358,808.4
Onion,Kharif     ,Tamil Nadu,9104,Black Soil,low,Low,Low,High,2866.165181,945.2
Onion,Rabi       ,Tamil Nadu,15883,Black Soil,high,Average,Medium,Medium,3104.066288,433.5
Potato,Kharif     ,Tamil Nadu,3875,Black Soil,low,High,Medium,High,2573.229533,978.7
Potato,Rabi       ,Tamil Nadu,2044,Red/Yellow Soil,low,Average,High,Medium,2582.173326,589.5
Ragi,Kharif     ,Tamil Nadu,88166,Red/Yellow Soil,high,Low,Low,Low,2043.048261,866.3
Ragi,Rabi       ,Tamil Nadu,30533,Alluvial Soil,low,Low,High,High,2340.57658,903
Rice,Kharif     ,Tamil Nadu,1725730,Alluvial Soil,low,Low,Medium,High,2442.075378,875.9
Sugarcane,Whole Year ,Tamil Nadu,313343,Alluvial Soil,low,High,Medium,High,2815.095866,751.6
Banana,Whole Year ,Andhra Pradesh,61607,Black Soil,high,High,High,Medium,2316.699663,804.5
Cotton(lint),Kharif     ,Andhra Pradesh,814855,Black Soil,high,High,Medium,Medium,2738.902006,495.3
Cotton(lint),Rabi       ,Andhra Pradesh,6222,Black Soil,high,Low,High,Low,2499.513485,887.5
Groundnut,Kharif     ,Andhra Pradesh,803988,Black Soil,high,Low,Medium,Medium,2446.849565,802.5
Groundnut,Rabi       ,Andhra Pradesh,70102,Red/Yellow Soil,low,Average,High,High,2574.668191,1114.2
Onion,Kharif     ,Andhra Pradesh,29445,Red/Yellow Soil,low,Low,Low,Low,2382.653088,1120.2
Onion,Rabi       ,Andhra Pradesh,3983,Alluvial Soil,high,Average,High,High,2371.288826,371.9
Potato,Kharif     ,Andhra Pradesh,351,Alluvial Soil,high,Low,Medium,Low,1988.564228,969.1
Potato,Rabi       ,Andhra Pradesh,1034,Black Soil,high,High,Low,High,2425.613738,622.8
Ragi,Kharif     ,Andhra Pradesh,28742,Black Soil,low,High,Medium,Low,2356.009556,992.3
Ragi,Rabi       ,Andhra Pradesh,4698,Black Soil,low,Low,Medium,High,2345.205703,1000.8
Rice,Kharif     ,Andhra Pradesh,1634921,Black Soil,low,High,Low,Low,2625.061919,902.3
Rice,Rabi       ,Andhra Pradesh,759034,Black Soil,low,High,Low,Low,2697.589586,1064.1
Sugarcane,Whole Year ,Andhra Pradesh,139226,Black Soil,low,High,Medium,Low,2569.658351,943.8
Wheat,Rabi       ,Andhra Pradesh,320,Black Soil,low,High,High,High,2798.624557,917
Banana,Whole Year ,Assam,51279,Red/Yellow Soil,low,High,Medium,Medium,2672.668578,934.2
Cotton(lint),Kharif     ,Assam,912,Red/Yellow Soil,high,Average,High,High,2411.483143,644.6
Onion,Whole Year ,Assam,8283,Red/Yellow Soil,low,High,Low,High,2361.143114,650.1
Potato,Whole Year ,Assam,104521,Alluvial Soil,high,Average,High,Low,2593.846671,788.1
Rice,Autumn     ,Assam,196188,Alluvial Soil,high,Average,Low,Medium,2672.130133,930.8
Rice,Summer     ,Assam,416353,Black Soil,low,High,High,High,2919.353292,706
Rice,Winter     ,Assam,1882756,Black Soil,high,High,Low,Medium,2857.351913,1035.3
Sugarcane,Whole Year ,Assam,29900,Black Soil,high,High,Low,High,2337.558098,897.7
Wheat,Rabi       ,Assam,23646,Black Soil,high,High,Medium,High,2469.398116,784.6
Banana,Whole Year ,Goa,2380,Alluvial Soil,low,High,Medium,Medium,2701.305341,1218.4
Groundnut,Kharif     ,Goa,361,Alluvial Soil,low,Low,High,Medium,2820.399333,676.7
Groundnut,Rabi       ,Goa,1910,Alluvial Soil,low,High,Medium,Medium,2781.690841,730.4
Ragi,Kharif     ,Goa,15.5,Alluvial Soil,high,Low,Medium,Medium,2480.83665,721.1
Rice,Kharif     ,Goa,27840,Alluvial Soil,high,High,Low,High,2123.793204,783.9
Rice,Rabi       ,Goa,14130,Alluvial Soil,low,High,High,Low,2200.319087,516.4
Sugarcane,Whole Year ,Goa,808,Black Soil,low,High,Low,High,2581.790054,1088.2
Cotton(lint),Kharif     ,Karnataka,808464,Black Soil,low,Average,High,High,2602.667674,850.4
Cotton(lint),Rabi       ,Karnataka,65287,Black Soil,low,Low,High,Low,2170.396188,770.3
Cotton(lint),Summer     ,Karnataka,2183,Black Soil,low,Average,Medium,Medium,2513.370883,966
Groundnut,Kharif     ,Karnataka,479475,Red/Yellow Soil,low,High,High,High,2689.367307,896.6
Groundnut,Rabi       ,Karnataka,3720,Red/Yellow Soil,low,Low,Medium,Medium,2154.632003,809.2
Groundnut,Summer     ,Karnataka,170699,Red/Yellow Soil,low,Average,Medium,High,2831.499161,1028.1
Onion,Kharif     ,Karnataka,165553,Alluvial Soil,low,Average,High,High,2386.740655,906.7
Onion,Rabi       ,Karnataka,13779,Alluvial Soil,high,High,Medium,Low,2877.283934,834
Onion,Summer     ,Karnataka,5782,Alluvial Soil,low,Average,High,Medium,2339.964266,728.9
Potato,Kharif     ,Karnataka,33572,Alluvial Soil,low,Low,Medium,High,2192.012355,875.3
Potato,Rabi       ,Karnataka,7334,Alluvial Soil,low,Low,High,Low,2362.558903,761.8
Potato,Summer     ,Karnataka,562,Alluvial Soil,low,High,Low,Low,2471.455563,879.3
Ragi,Kharif     ,Karnataka,667456,Black Soil,low,High,Low,High,2383.456028,1060.9
Ragi,Rabi       ,Karnataka,33636,Black Soil,low,Low,High,Low,2435.199574,1064.4
Ragi,Summer     ,Karnataka,7358,Black Soil,low,Low,Medium,Medium,2600.189545,1005.2
Rice,Kharif     ,Karnataka,1000025,Black Soil,low,Average,High,Low,2448.646189,1165.3
Rice,Rabi       ,Karnataka,48096,Black Soil,high,Low,Low,High,2480.166282,768.3
Rice,Summer     ,Karnataka,278414,Red/Yellow Soil,low,Low,High,High,1987.23208,1129.8
Sugarcane,Whole Year ,Karnataka,480222,Alluvial Soil,high,Average,Medium,Medium,2617.509405,1198.3
Wheat,Rabi       ,Karnataka,197615,Alluvial Soil,high,Low,Medium,Medium,2473.239011,798.2
Banana,Whole Year ,Kerala,61936,Alluvial Soil,high,Average,High,Medium,2983.087894,929.7
Groundnut,Whole Year ,Kerala,480,Black Soil,low,Low,High,Medium,2218.13045,1002
Onion,Whole Year ,Kerala,61,Black Soil,low,High,High,High,1957.511401,673.5
Potato,Whole Year ,Kerala,852,Laterile Soil,high,Average,Medium,Medium,2685.420548,756
Ragi,Whole Year ,Kerala,79,Red/Yellow Soil,high,Low,Low,Medium,2603.958105,1157.2
Rice,Autumn     ,Kerala,63981,Black Soil,high,High,Low,Low,2197.470094,693.3
Rice,Summer     ,Kerala,45188,Red/Yellow Soil,high,High,Low,Low,2041.075313,878.1
Rice,Winter     ,Kerala,88990,Alluvial Soil,low,High,Low,High,2961.219019,863.8
Sugarcane,Whole Year ,Kerala,1517.06,Alluvial Soil,high,Low,High,Medium,2924.233117,1003.1
Wheat,Whole Year ,Kerala,1,Alluvial Soil,low,High,Low,Low,1753.762972,585.1
Banana,Kharif     ,Meghalaya,7072,Black Soil,low,Average,Low,Low,2362.533091,805.9
Cotton(lint),Kharif     ,Meghalaya,7305,Black Soil,low,High,Low,Low,2999.257616,668.9
Onion,Rabi       ,Meghalaya,499,Black Soil,high,Average,Medium,Low,2357.181233,989.5
Potato,Summer     ,Meghalaya,12435,Black Soil,high,Average,Low,High,2352.81633,653.2
Potato,Winter     ,Meghalaya,6038,Black Soil,low,Low,High,Medium,2415.172202,994.3
Rice,Autumn     ,Meghalaya,33102,Black Soil,high,Low,High,Medium,2163.730908,1244.2
Rice,Rabi       ,Meghalaya,13620,Red/Yellow Soil,low,High,Low,High,1988.567277,558
Rice,Winter     ,Meghalaya,63601,Alluvial Soil,high,Low,High,Low,2815.764193,984.7
Sugarcane,Whole Year ,Meghalaya,111,Alluvial Soil,low,Average,Medium,Low,1947.118928,739.6
Wheat,Rabi       ,Meghalaya,442,Alluvial Soil,high,Average,Medium,Low,2574.181436,969.1
Banana,Whole Year ,Tamil Nadu,91410,Black Soil,low,High,Medium,Low,2765.973848,1191.7
Cotton(lint),Kharif     ,Tamil Nadu,138386,Black Soil,high,Low,Low,Low,2064.63211,781.3
Cotton(lint),Rabi       ,Tamil Nadu,48307,Black Soil,high,Average,Medium,Medium,2222.719479,957.2
Groundnut,Kharif     ,Tamil Nadu,210285,Black Soil,low,Average,Medium,Medium,2863.953757,715.2
Groundnut,Rabi       ,Tamil Nadu,126229,Black Soil,high,Average,Medium,High,2659.867516,466.8
Onion,Kharif     ,Tamil Nadu,11835,Red/Yellow Soil,high,Average,Medium,Medium,2314.814288,1035.6
Onion,Rabi       ,Tamil Nadu,16270,Red/Yellow Soil,low,Low,High,Low,2860.674701,657.3
Potato,Kharif     ,Tamil Nadu,3018,Alluvial Soil,low,Low,High,Medium,2861.960717,958
Potato,Rabi       ,Tamil Nadu,1719,Alluvial Soil,low,Low,Low,Medium,2580.715808,748.7
Ragi,Kharif     ,Tamil Nadu,74309,Alluvial Soil,high,Average,High,High,2229.951932,820.6
Ragi,Rabi       ,Tamil Nadu,30117,Black Soil,low,High,High,High,2375.965389,771.9
Rice,Kharif     ,Tamil Nadu,1794991,Black Soil,low,Average,Medium,High,2585.916023,806.8
Sugarcane,Whole Year ,Tamil Nadu,263066,Black Soil,high,High,Low,High,2443.421551,826.8
Banana,Whole Year ,Andhra Pradesh,59428,Black Soil,high,High,Low,High,2781.687153,941.2
Cotton(lint),Kharif     ,Andhra Pradesh,662671,Red/Yellow Soil,high,High,High,High,2041.067776,445.2
Cotton(lint),Rabi       ,Andhra Pradesh,3394,Red/Yellow Soil,low,Low,High,Low,2051.720941,867.2
Groundnut,Kharif     ,Andhra Pradesh,682130,Alluvial Soil,high,Average,Medium,Low,2554.261333,786.4
Groundnut,Rabi       ,Andhra Pradesh,92588,Alluvial Soil,high,High,High,Medium,2352.536676,771.4
Onion,Kharif     ,Andhra Pradesh,33867,Black Soil,low,High,Medium,Medium,2311.885416,661.7
Onion,Rabi       ,Andhra Pradesh,7375,Black Soil,low,Average,High,Medium,1969.582984,625.2
Potato,Kharif     ,Andhra Pradesh,574,Black Soil,low,Low,Low,Medium,2505.863753,1047.5
Potato,Rabi       ,Andhra Pradesh,1472,Black Soil,high,Low,Medium,Low,2484.173468,642.3
Ragi,Kharif     ,Andhra Pradesh,26603,Black Soil,low,Low,Medium,Medium,2696.043695,725.7
Ragi,Rabi       ,Andhra Pradesh,4569,Black Soil,low,Low,High,Medium,2520.67184,529.3
Rice,Kharif     ,Andhra Pradesh,1398884,Black Soil,low,High,Low,High,2460.218777,572.5
Rice,Rabi       ,Andhra Pradesh,761911,Red/Yellow Soil,high,Average,High,Low,2853.100191,799.8
Sugarcane,Whole Year ,Andhra Pradesh,121685,Red/Yellow Soil,low,Low,High,Low,2106.259809,549.2
Wheat,Rabi       ,Andhra Pradesh,164,Red/Yellow Soil,low,Average,Low,High,2660.916766,820.7
Banana,Kharif     ,Puducherry,246,Alluvial Soil,low,Low,High,Medium,1998.655851,777.4
Cotton(lint),Kharif     ,Puducherry,118,Alluvial Soil,low,Low,High,High,2248.491436,389.6
Groundnut,Kharif     ,Puducherry,5,Black Soil,low,Average,Medium,Low,2136.20286,932.8
Groundnut,Rabi       ,Puducherry,239,Black Soil,low,Average,Low,Low,2734.582761,486.9
Groundnut,Summer     ,Puducherry,55,Black Soil,high,Low,High,High,2480.37693,582.7
Onion,Summer     ,Puducherry,1,Black Soil,low,Average,High,Low,2495.949027,1562.5
Ragi,Kharif     ,Puducherry,34,Alluvial Soil,high,High,Low,Medium,2167.980104,1324.2
Rice,Kharif     ,Puducherry,3817,Alluvial Soil,high,Low,Low,High,2410.091951,1306.5
Rice,Rabi       ,Puducherry,8505,Alluvial Soil,low,High,Medium,High,2270.960409,1492
Rice,Summer     ,Puducherry,3941,Alluvial Soil,low,Average,Low,Medium,2615.036504,1302.1
Sugarcane,Kharif     ,Puducherry,1821,Alluvial Soil,low,Low,Medium,Medium,2202.672659,1537.9
Banana,Whole Year ,Assam,51103,Alluvial Soil,low,Average,Medium,High,2898.93831,1194.4
Cotton(lint),Kharif     ,Assam,921,Black Soil,high,Low,Low,Medium,1997.325865,1256.2
Onion,Whole Year ,Assam,8503,Black Soil,low,Low,Low,Medium,2258.04405,1717.7
Potato,Whole Year ,Assam,103812,Black Soil,low,High,Low,High,3003.160153,1963.9
Rice,Autumn     ,Assam,191322,Black Soil,low,Average,High,Low,2369.458376,1542.9
Rice,Summer     ,Assam,404982,Red/Yellow Soil,low,Low,Medium,High,2105.536401,1394.5
Rice,Winter     ,Assam,1888683,Red/Yellow Soil,high,High,High,Low,2565.721469,1137.6
Sugarcane,Whole Year ,Assam,29460,Red/Yellow Soil,high,Average,High,Low,2357.382327,1940.9
Wheat,Rabi       ,Assam,20975,Alluvial Soil,low,Low,Medium,High,2249.238923,1601.3
Banana,Kharif     ,Meghalaya,7112,Alluvial Soil,high,High,Low,Medium,2171.238757,1678.8
Cotton(lint),Kharif     ,Meghalaya,7295,Alluvial Soil,low,High,High,Medium,3330.512082,2102.9
Onion,Rabi       ,Meghalaya,521,Alluvial Soil,low,Average,Low,Low,2424.53443,1215.2
Potato,Summer     ,Meghalaya,12498,Alluvial Soil,high,Average,High,High,1922.329792,1583.1
Potato,Winter     ,Meghalaya,6063,Alluvial Soil,low,Low,High,Medium,2948.112928,1328.4
Rice,Autumn     ,Meghalaya,33136,Black Soil,high,High,High,Low,2683.321272,1848.7
Rice,Rabi       ,Meghalaya,13649,Black Soil,low,Average,Medium,Low,2270.060071,1860
Rice,Winter     ,Meghalaya,63670,Black Soil,low,Low,Medium,Low,2220.064273,1582.9
Sugarcane,Whole Year ,Meghalaya,117,Black Soil,low,Average,Low,High,2702.041839,1927.1
Wheat,Rabi       ,Meghalaya,448,Black Soil,high,High,High,Low,2425.924502,1535
Banana,Whole Year ,Goa,2414,Red/Yellow Soil,low,High,Medium,High,1922.206654,1381.2
Groundnut,Kharif     ,Goa,361,Alluvial Soil,low,Low,Medium,Low,3036.171989,1649.9
Groundnut,Rabi       ,Goa,1537,Alluvial Soil,high,Low,Medium,Low,2369.802861,1241.9
Rice,Kharif     ,Goa,27730,Alluvial Soil,high,Average,Low,Medium,2948.671521,1212.2
Rice,Rabi       ,Goa,13614,Black Soil,high,Average,Medium,High,2883.530487,1271.2
Sugarcane,Whole Year ,Goa,1139,Black Soil,low,Low,High,High,2199.697137,1334.1
Cotton(lint),Kharif     ,Karnataka,599083,Black Soil,low,Low,High,Low,2809.956959,1369.6
Cotton(lint),Rabi       ,Karnataka,41696,Black Soil,high,Low,High,Medium,2304.567235,1595.8
Cotton(lint),Summer     ,Karnataka,1105,Black Soil,low,Average,Medium,Low,1939.989824,1339
Groundnut,Kharif     ,Karnataka,406076,Red/Yellow Soil,high,Low,Low,High,2372.62055,1137.2
Groundnut,Rabi       ,Karnataka,3646,Alluvial Soil,high,Average,Low,Low,2619.291251,1912.3
Groundnut,Summer     ,Karnataka,160363,Alluvial Soil,low,Low,High,Low,2361.179006,1533.6
Onion,Kharif     ,Karnataka,173510,Red/Yellow Soil,high,High,Low,High,2407.885498,1529.3
Onion,Rabi       ,Karnataka,15694,Red/Yellow Soil,low,High,Medium,High,2843.069813,1142.6
Onion,Summer     ,Karnataka,6246,Red/Yellow Soil,high,Low,Low,High,2531.948194,1223.7
Potato,Kharif     ,Karnataka,31633,Laterile Soil,high,High,High,Low,2247.010507,1061.6
Potato,Rabi       ,Karnataka,6029,Red/Yellow Soil,high,High,Low,Low,2710.609097,1711.4
Potato,Summer     ,Karnataka,464,Red/Yellow Soil,low,High,Medium,High,2559.30267,1366.7
Ragi,Kharif     ,Karnataka,662355,Alluvial Soil,high,Low,Low,Low,1743.51856,1198.9
Ragi,Rabi       ,Karnataka,36275,Alluvial Soil,low,High,Medium,Low,2628.505874,1648
Ragi,Summer     ,Karnataka,7053,Laterile Soil,high,Low,High,Low,2617.548612,1526.7
Rice,Kharif     ,Karnataka,977005,Black Soil,low,Average,High,Medium,2506.036339,1359.8
Rice,Rabi       ,Karnataka,29329,Alluvial Soil,high,Low,High,High,2767.510174,1535.4
Rice,Summer     ,Karnataka,103711,Black Soil,low,Average,Medium,Low,2298.281925,1412.1
Sugarcane,Whole Year ,Karnataka,449586,Black Soil,low,High,High,High,2600.949937,1584.1
Wheat,Rabi       ,Karnataka,173856,Alluvial Soil,low,High,High,Low,2029.912189,1174.3
Banana,Whole Year ,Kerala,59834.61,Alluvial Soil,low,Average,Medium,High,2622.127115,1477.8
Cotton(lint),Kharif     ,Kerala,109,Alluvial Soil,high,High,Low,Low,3085.917909,1565.8
Groundnut,Whole Year ,Kerala,449,Alluvial Soil,low,Low,Low,Low,2201.543094,1862.9
Onion,Whole Year ,Kerala,27,Alluvial Soil,low,Low,Low,Low,2272.05936,1666.9
Potato,Whole Year ,Kerala,491,Alluvial Soil,high,High,Low,High,2286.995367,1943
Ragi,Whole Year ,Kerala,64,Alluvial Soil,high,Average,Low,Low,2538.999468,1780.7
Rice,Autumn     ,Kerala,60418,Alluvial Soil,high,Low,Low,Low,2181.089118,1499
Rice,Summer     ,Kerala,47334,Alluvial Soil,high,Low,Low,Low,2626.374214,1743
Rice,Winter     ,Kerala,89118,Alluvial Soil,low,Low,Medium,Medium,2754.051984,1540.1
Sugarcane,Whole Year ,Kerala,1361.588,Alluvial Soil,high,Low,High,Medium,2660.304164,1948.3
Wheat,Whole Year ,Kerala,2,Alluvial Soil,low,High,Medium,Medium,1969.475372,1647.4
Banana,Whole Year ,Tamil Nadu,94214,Alluvial Soil,high,Low,Medium,Medium,2798.5503,1802
Cotton(lint),Kharif     ,Tamil Nadu,102251,Black Soil,high,Average,Medium,High,2781.210224,1769.6
Cotton(lint),Rabi       ,Tamil Nadu,45836,Black Soil,high,Average,Medium,Medium,2749.048412,1305.7
Groundnut,Kharif     ,Tamil Nadu,222820,Black Soil,low,Average,High,Low,2611.852675,1465.8
Groundnut,Rabi       ,Tamil Nadu,123791,Black Soil,high,Average,Low,Medium,2566.056794,1556.2
Onion,Kharif     ,Tamil Nadu,16013,Black Soil,low,Low,Medium,Low,2809.716819,1478.6
Onion,Rabi       ,Tamil Nadu,19796,Black Soil,low,Average,Medium,Medium,3077.054046,1635.7
Potato,Kharif     ,Tamil Nadu,3235,Black Soil,low,High,Medium,High,2214.087861,1293.5
Potato,Rabi       ,Tamil Nadu,1071,Black Soil,high,Average,High,Low,2823.437619,1803.8
Ragi,Kharif     ,Tamil Nadu,68487,Black Soil,low,High,Low,Medium,2474.134871,1077.8
Ragi,Rabi       ,Tamil Nadu,21499,Black Soil,low,High,High,High,2461.098084,1239.7
Rice,Kharif     ,Tamil Nadu,2000212,Black Soil,high,Average,Medium,Low,2039.040793,1161.8
Sugarcane,Whole Year ,Tamil Nadu,252272,Black Soil,high,Average,High,High,2414.563177,1580.3
Banana,Whole Year ,Andhra Pradesh,55743,Black Soil,low,Low,High,Medium,2200.820513,986.3
Cotton(lint),Kharif     ,Andhra Pradesh,463437,Black Soil,high,High,Medium,Low,2360.843671,1416.3
Cotton(lint),Rabi       ,Andhra Pradesh,8092,Black Soil,low,Low,Medium,High,2170.544085,2031.4
Groundnut,Kharif     ,Andhra Pradesh,933233,Black Soil,high,Average,Low,Medium,2365.327484,1072.3
Groundnut,Rabi       ,Andhra Pradesh,79576,Red/Yellow Soil,high,Average,Medium,High,2378.166893,1333.5
Onion,Kharif     ,Andhra Pradesh,32006,Red/Yellow Soil,low,High,Low,High,2529.026476,1356.1
Onion,Rabi       ,Andhra Pradesh,3511,Red/Yellow Soil,low,Low,High,High,2015.575041,1372.1
Potato,Kharif     ,Andhra Pradesh,527,Red/Yellow Soil,high,Low,Low,High,2066.344556,1525.3
Potato,Rabi       ,Andhra Pradesh,1164,Red/Yellow Soil,high,Average,Medium,Low,2608.574281,1339.1
Ragi,Kharif     ,Andhra Pradesh,26899,Red/Yellow Soil,low,Average,Medium,Medium,2260.768565,1653.7
Ragi,Rabi       ,Andhra Pradesh,5159,Red/Yellow Soil,low,Average,Medium,Low,2822.358937,1514.5
Rice,Kharif     ,Andhra Pradesh,1519656,Red/Yellow Soil,high,Average,High,Medium,2567.580917,987.3
Rice,Rabi       ,Andhra Pradesh,585363,Red/Yellow Soil,high,High,Medium,Low,2682.028645,1602.4
Sugarcane,Whole Year ,Andhra Pradesh,102732,Alluvial Soil,low,Average,Medium,Medium,2923.207696,1263.8
Wheat,Rabi       ,Andhra Pradesh,33,Alluvial Soil,low,Low,Medium,Medium,2407.086756,1564.9
Banana,Kharif     ,Puducherry,252,Alluvial Soil,low,Average,Low,Low,2327.653988,1020.7
Cotton(lint),Kharif     ,Puducherry,296,Alluvial Soil,low,Low,High,Low,2761.510776,1108.1
Groundnut,Kharif     ,Puducherry,1,Alluvial Soil,high,High,Low,Low,2652.854069,1594.1
Groundnut,Rabi       ,Puducherry,212,Alluvial Soil,high,Average,Medium,High,2443.800907,1441.7
Groundnut,Summer     ,Puducherry,40,Alluvial Soil,high,Average,Medium,High,2917.43739,1616.1
Onion,Summer     ,Puducherry,1,Alluvial Soil,high,Low,Medium,Low,2436.326707,1401.4
Ragi,Kharif     ,Puducherry,20,Alluvial Soil,high,Average,High,Low,2509.832091,803.4
Ragi,Rabi       ,Puducherry,6,Black Soil,low,Average,Medium,Low,2506.366795,1198.6
Ragi,Summer     ,Puducherry,21,Black Soil,low,Average,Medium,Medium,2219.621832,1185.5
Rice,Kharif     ,Puducherry,3693,Alluvial Soil,low,High,Medium,Low,2523.275617,1712.9
Rice,Rabi       ,Puducherry,8412,Alluvial Soil,low,Average,Low,High,2919.028053,1544.4
Rice,Summer     ,Puducherry,4100,Alluvial Soil,low,Average,High,High,2633.490495,1574.7
Sugarcane,Kharif     ,Puducherry,1677,Black Soil,low,Low,Low,Low,2509.319028,1734.3
Banana,Whole Year ,Assam,49266,Black Soil,low,High,High,Low,2451.469816,1219.6
Cotton(lint),Kharif     ,Assam,882,Black Soil,high,Low,Medium,High,2599.260109,1348.2
Onion,Whole Year ,Assam,8266,Red/Yellow Soil,high,High,Low,Low,2724.929989,1178.9
Potato,Whole Year ,Assam,106437,Red/Yellow Soil,low,High,High,High,2682.771649,1924.3
Rice,Autumn     ,Assam,168044,Red/Yellow Soil,high,Low,High,Low,2400.440541,1363.7
Rice,Summer     ,Assam,408132,Alluvial Soil,high,High,High,Medium,2597.434478,847.8
Rice,Winter     ,Assam,1890960,Black Soil,high,Average,Low,Low,2643.981922,1424
Sugarcane,Whole Year ,Assam,31383,Black Soil,high,Low,Low,Low,2197.841504,1564.7
Wheat,Rabi       ,Assam,17452,Black Soil,high,Average,Medium,Medium,2550.469162,1223.9
Banana,Kharif     ,Meghalaya,7240,Black Soil,low,Low,Low,Low,1851.608834,1735.4
Cotton(lint),Kharif     ,Meghalaya,7255,Black Soil,low,Low,High,Medium,2644.760113,1287.4
Onion,Rabi       ,Meghalaya,551,Black Soil,low,Average,Low,High,2698.102916,1247.6
Potato,Summer     ,Meghalaya,12554,Red/Yellow Soil,high,Average,Low,High,2724.263838,390.1
Potato,Winter     ,Meghalaya,6341,Red/Yellow Soil,high,High,Low,Low,2381.485944,419.8
Rice,Autumn     ,Meghalaya,33646,Red/Yellow Soil,low,Average,Medium,High,2592.714051,428.9
Rice,Rabi       ,Meghalaya,13670,Alluvial Soil,low,Low,Low,Medium,2927.186154,527.8
Rice,Winter     ,Meghalaya,63862,Alluvial Soil,low,Average,High,High,2924.130894,322.9
Sugarcane,Whole Year ,Meghalaya,121,Alluvial Soil,high,High,High,High,2491.24819,593.6
Wheat,Rabi       ,Meghalaya,456,Alluvial Soil,high,Low,Low,High,2541.795889,443.9
Banana,Whole Year ,Goa,2435,Black Soil,low,High,Medium,Low,2833.273343,689
Groundnut,Kharif     ,Goa,336,Black Soil,high,Average,High,High,2049.759395,769.3
Groundnut,Rabi       ,Goa,1352,Black Soil,high,Average,Medium,High,2403.077277,605.2
Rice,Kharif     ,Goa,27630,Black Soil,low,Average,High,Low,2900.671137,509.7
Rice,Rabi       ,Goa,13193,Red/Yellow Soil,low,Low,High,High,2792.560163,529.3
Sugarcane,Whole Year ,Goa,897,Alluvial Soil,low,Average,High,Medium,2610.779133,508.4
Cotton(lint),Kharif     ,Karnataka,484953,Alluvial Soil,high,Low,Low,Low,2048.250278,664.7
Cotton(lint),Rabi       ,Karnataka,24614,Alluvial Soil,low,High,Medium,Medium,2485.02693,422.4
Groundnut,Kharif     ,Karnataka,496668,Black Soil,low,High,Medium,High,2323.025381,629.1
Groundnut,Rabi       ,Karnataka,3309,Black Soil,high,Low,Medium,Medium,2599.311671,986.7
Groundnut,Summer     ,Karnataka,165732,Black Soil,high,Average,High,Medium,2257.195995,234.7
Onion,Kharif     ,Karnataka,183065,Black Soil,high,Average,High,Low,2192.282982,553.7
Onion,Rabi       ,Karnataka,14675,Black Soil,low,Average,Low,Medium,1880.540417,368.8
Onion,Summer     ,Karnataka,3231,Black Soil,high,Low,Medium,Medium,2866.541405,446.5
Potato,Kharif     ,Karnataka,19963,Red/Yellow Soil,high,Low,Medium,Medium,2380.068847,552.9
Potato,Rabi       ,Karnataka,5929,Alluvial Soil,low,High,High,High,2547.143735,581.5
Potato,Summer     ,Karnataka,244,Alluvial Soil,low,Average,Low,Medium,2499.328565,654.8
Ragi,Kharif     ,Karnataka,575562,Alluvial Soil,low,High,Medium,Medium,2179.76982,557.2
Ragi,Rabi       ,Karnataka,16968,Black Soil,low,Average,Medium,Medium,2122.280527,615.9
Ragi,Summer     ,Karnataka,6133,Black Soil,low,Low,Low,Medium,2198.405462,502.5
Rice,Kharif     ,Karnataka,942025,Black Soil,low,Average,Low,High,2283.049468,388.2
Rice,Rabi       ,Karnataka,18686,Black Soil,low,High,Low,High,2609.981874,306.6
Rice,Summer     ,Karnataka,73832,Black Soil,high,Low,High,High,2261.284701,500.5
Sugarcane,Whole Year ,Karnataka,397098,Red/Yellow Soil,high,Low,Low,Medium,3023.947189,519.2
Wheat,Rabi       ,Karnataka,168242,Red/Yellow Soil,low,Average,Low,Low,2808.145311,440.1
Banana,Whole Year ,Kerala,57158,Alluvial Soil,high,Low,Low,Low,2742.507865,856.9
Cotton(lint),Whole Year ,Kerala,80,Alluvial Soil,low,Low,High,High,2464.102329,501.4
Groundnut,Whole Year ,Kerala,358,Alluvial Soil,high,Low,High,Low,2954.284221,568.3
Onion,Whole Year ,Kerala,31,Black Soil,high,Low,Medium,High,2434.598311,511.1
Potato,Whole Year ,Kerala,556,Black Soil,high,High,Low,Medium,2490.621576,481.7
Ragi,Whole Year ,Kerala,33,Black Soil,low,Average,Medium,Low,2550.992362,278.8
Rice,Autumn     ,Kerala,56601,Black Soil,high,Average,Medium,Medium,2710.546912,310.2
Rice,Summer     ,Kerala,42544,Red/Yellow Soil,high,High,Medium,Low,2691.072424,395.7
