Crop,Season,Soil Type,Pesticide Usage,pH,Temperature,Fertilizer Usage,Price,Rainfall
Rice,Autumn     ,0,,0,1,2,0.35968377576671684,0.18410222052067382
Rice,Summer     ,0,,0,2,2,0.3021408441427853,0.16093989280245025
Rice,Winter     ,0,,2,1,0,0.24756456133735538,0.1322900714650332
Sugarcane,Whole Year ,1,,1,1,2,0.3204064947209653,0.14921516079632466
Wheat,Rabi       ,1,,2,0,0,0.36114946078431365,0.09635017866258294
Cotton(lint),Kharif     ,1,,2,0,0,0.42603402388134737,0.1088565594691169
Cotton(lint),Rabi       ,1,,0,2,1,0.39004256510809443,0.16663476263399696
Cotton(lint),Summer     ,1,,2,1,0,0.49708903318250364,0.1681502041858091
Groundnut,Kharif     ,3,,2,2,2,0.2977171400201106,0.16775140377743747
Groundnut,Rabi       ,0,,0,2,2,0.4422618572146807,0.1303758295048494
Groundnut,Summer     ,0,,2,0,2,0.3793840178481649,0.12747256253190403
Onion,Kharif     ,0,,1,0,2,0.4282053134741075,0.14779543134252168
Onion,Rabi       ,1,,2,1,1,0.3428973205128204,0.21495342011230217
Onion,Summer     ,1,,0,1,0,0.4566375344394168,0.18178917815211842
Potato,Kharif     ,2,,1,2,0,0.3980813041729512,0.18411817253700868
Potato,Rabi       ,0,,0,2,2,0.32457679864253397,0.09386166411434406
Potato,Summer     ,0,,2,0,2,0.37491020387129215,0.1533148289943849
Ragi,Kharif     ,2,,0,2,0,0.3577509406737053,0.12728113833588567
Ragi,Rabi       ,0,,2,0,1,0.41270827174459523,0.16787901990811638
Ragi,Summer     ,3,,1,2,2,0.2868443878833584,0.20764739663093415
Rice,Kharif     ,1,,0,2,1,0.3736034411764705,0.16173749361919346
Rice,Rabi       ,3,,1,0,0,0.4056290035193564,0.16870852475752937
Rice,Summer     ,0,,1,0,1,0.3783074389140272,0.16778330781010717
Sugarcane,Whole Year ,0,,1,2,1,0.47739627275012564,0.14790709545686576
Wheat,Rabi       ,0,,0,2,1,0.4341897516339869,0.15455908626850434
Banana,Whole Year ,1,,0,0,2,0.3752528308195072,0.1184437212863706
Groundnut,Whole Year ,1,,2,2,2,0.39215855429864255,0.1519429555895865
Onion,Whole Year ,1,,1,2,0,0.3981145462543991,0.16066870852475754
Potato,Whole Year ,1,,2,0,2,0.4062317448466566,0.1570954568657478
Ragi,Whole Year ,1,,0,2,2,0.23813539492207136,0.10786753445635529
Rice,Autumn     ,1,,2,2,1,0.35307745374560084,0.14599285349668198
Rice,Summer     ,3,,2,0,1,0.26386834590246344,0.16049323634507404
Rice,Winter     ,0,,1,0,1,0.4722182714932126,0.13678854007146501
Sugarcane,Whole Year ,0,,0,0,2,0.3712280402212166,0.23660030627871362
Wheat,Whole Year ,0,,0,1,1,0.3612362280040221,0.15521311893823378
Banana,Kharif     ,1,,0,0,1,0.4434487682252388,0.20927450229709035
Cotton(lint),Kharif     ,1,,0,0,2,0.40766652564102557,0.14080844818785093
Potato,Whole Year ,1,,2,1,2,0.29070126847662137,0.12833397141398672
Rice,Autumn     ,1,,1,2,1,0.37046968099547506,0.11739088820826954
Rice,Rabi       ,1,,0,0,0,0.3505404494720965,0.15414433384379783
Rice,Winter     ,3,,2,1,0,0.24425342709904474,0.16570954568657476
Sugarcane,Whole Year ,3,,1,1,1,0.3237599622926093,0.15939254721796836
Wheat,Rabi       ,0,,1,0,2,0.36197534012066357,0.14645546197039305
Banana,Whole Year ,0,,0,2,2,0.3671479942182001,0.15578739152628893
Cotton(lint),Kharif     ,0,,1,0,2,0.26403483484162893,0.15058703420112302
Cotton(lint),Rabi       ,1,,1,1,0,0.46266960155857206,0.20112302194997445
Groundnut,Kharif     ,1,,2,0,2,0.36811691352438414,0.17047919857069932
Groundnut,Rabi       ,1,,0,0,2,0.37864905052790343,0.1418293772332823
Onion,Kharif     ,1,,1,2,2,0.4060312951231775,0.11010081674323634
Onion,Rabi       ,3,,1,1,1,0.31638439517345396,0.13935681470137826
Potato,Kharif     ,3,,0,0,2,0.4102329793866264,0.19215798876978052
Potato,Rabi       ,0,,1,0,0,0.3481341392659627,0.14474859622256253
Ragi,Kharif     ,0,,1,1,2,0.30820119105077926,0.21726646248085757
Ragi,Rabi       ,1,,1,2,0,0.4190634107591754,0.1901161306789178
Rice,Kharif     ,1,,0,1,2,0.48831125138260423,0.14251531393568148
Rice,Rabi       ,1,,1,2,0,0.4304798421317244,0.15227794793261867
Sugarcane,Whole Year ,1,,0,1,2,0.44542314479638,0.12871681980602348
Wheat,Rabi       ,1,,2,2,1,0.3365537501256912,0.1767004849412966
Banana,Whole Year ,1,,2,0,1,0.2553328509301156,0.18376722817764166
Cotton(lint),Kharif     ,1,,0,1,0,0.4881953888888888,0.16106750893312916
Onion,Whole Year ,3,,2,2,2,0.530757784565108,0.14899183256763654
Potato,Whole Year ,3,,2,2,1,0.4921674288587229,0.155420495150587
Rice,Autumn     ,3,,0,1,0,0.3504937702362996,0.09941296579887698
Rice,Summer     ,0,,2,1,1,0.28874049723479134,0.1029702654415518
Rice,Winter     ,0,,2,2,1,0.29544876596279535,0.1542719499744768
Sugarcane,Whole Year ,1,,2,2,0,0.24883867018602313,0.12405883103624299
Wheat,Rabi       ,1,,0,0,0,0.36771905832076424,0.15350625319040326
Banana,Whole Year ,1,,2,2,1,0.49690884539969826,0.17068657478305257
Groundnut,Kharif     ,1,,0,2,0,0.3651335369532428,0.1992087799897907
Groundnut,Rabi       ,0,,2,1,1,0.3986166088486677,0.09644589076059214
Ragi,Kharif     ,0,,2,2,2,0.4795573376068376,0.14251531393568148
Rice,Kharif     ,0,,0,2,2,0.34534223378582196,0.1307905819295559
Rice,Rabi       ,0,,1,2,2,0.5293261530920059,0.1855538540071465
Sugarcane,Whole Year ,0,,0,0,2,0.5260503574660633,0.13737876467585503
Cotton(lint),Kharif     ,0,,1,0,0,0.36592926043237795,0.13587927514037776
Cotton(lint),Rabi       ,1,,1,1,0,0.3322623733031673,0.16813425216947422
Cotton(lint),Summer     ,1,,2,0,0,0.42839904826545994,0.1011676875957121
Groundnut,Kharif     ,1,,2,2,2,0.34960847586726995,0.22750765696784073
Groundnut,Rabi       ,1,,1,2,1,0.28859563474107586,0.1671452271567126
Groundnut,Summer     ,3,,1,0,0,0.4724413262946203,0.1672249872383869
Onion,Kharif     ,3,,0,2,1,0.4675551070889894,0.1822517866258295
Onion,Rabi       ,3,,1,2,2,0.38754486701860225,0.1618172537008678
Onion,Summer     ,0,,1,1,2,0.28057832428355955,0.1776416539050536
Potato,Kharif     ,0,,2,1,2,0.28309254022121666,0.13926110260336905
Potato,Rabi       ,0,,1,0,1,0.3839036669180492,0.12161817253700868
Potato,Summer     ,0,,2,0,0,0.3381193288084464,0.1631572230729964
Ragi,Kharif     ,0,,1,1,2,0.35009354449472097,0.14478050025523226
Ragi,Rabi       ,0,,1,2,0,0.4528881214177979,0.166507146503318
Ragi,Summer     ,1,,2,2,0,0.4311095512820512,0.12967394078611538
Rice,Kharif     ,1,,0,1,0,0.47974932227249867,0.12779160285860133
Rice,Rabi       ,1,,1,0,2,0.3011093597285067,0.12310171005615109
Rice,Summer     ,1,,1,0,1,0.34993527626948207,0.13525714650331802
Sugarcane,Whole Year ,1,,1,0,1,0.4330554321266967,0.12732899438489026
Wheat,Rabi       ,3,,0,1,1,0.40960872347913524,0.1512251148545176
Banana,Whole Year ,0,,2,2,1,0.49138112493715436,0.06875319040326698
Groundnut,Whole Year ,0,,2,1,0,0.40753167722473604,0.09550472179683513
Onion,Whole Year ,0,,2,2,0,0.5151917373051784,0.14205270546197038
Potato,Whole Year ,1,,0,1,2,0.41654231799899444,0.1410955844818785
Ragi,Whole Year ,1,,1,0,0,0.45592011915535446,0.14540262889229197
Rice,Autumn     ,1,,1,2,2,0.35141918451483156,0.09998723838693212
Rice,Summer     ,3,,1,0,1,0.3768944605329311,0.16495980091883616
Rice,Winter     ,0,,2,2,1,0.44451566641528395,0.10920750382848392
Sugarcane,Whole Year ,0,,1,1,1,0.497459389391654,0.11294027565084226
Banana,Kharif     ,0,,0,2,0,0.4308122385620914,0.09089458907605921
Cotton(lint),Kharif     ,1,,0,0,0,0.36954461236802405,0.10829823889739663
Potato,Whole Year ,1,,2,1,0,0.47968841352438396,0.14214841755997956
Rice,Autumn     ,1,,0,0,2,0.2105094024635495,0.08740109749872385
Rice,Rabi       ,1,,1,1,0,0.2685594896933132,0.10048175089331292
Rice,Winter     ,1,,0,1,0,0.4272222893413775,0.11467904543134252
Sugarcane,Whole Year ,1,,1,0,2,0.37688097209653093,0.086204696273609
Wheat,Rabi       ,3,,0,1,0,0.42148167295123173,0.15618619193466055
Banana,Whole Year ,0,,1,1,2,0.38067427275012555,0.10191743236345074
Cotton(lint),Kharif     ,0,,2,2,0,0.4188747380593262,0.08630040837161816
Cotton(lint),Rabi       ,0,,2,0,2,0.3143989829059829,0.11383358856559468
Groundnut,Kharif     ,1,,0,2,0,0.4188400769230769,0.10756444614599285
Groundnut,Rabi       ,1,,2,0,1,0.4508105475113121,0.11901799387442571
Onion,Kharif     ,1,,0,0,2,0.46786455027652074,0.1408403522205207
Onion,Rabi       ,1,,1,1,1,0.5276687501256913,0.059213884635017866
Potato,Kharif     ,1,,2,1,2,0.39422562418300655,0.14618427769270037
Potato,Rabi       ,3,,1,2,1,0.3964739381598793,0.08409903011740684
Ragi,Kharif     ,3,,0,0,0,0.2609472752639517,0.1282542113323124
Ragi,Rabi       ,0,,0,2,2,0.3357407189542483,0.13410860132720775
Rice,Kharif     ,0,,0,1,2,0.36125575113122166,0.1297856049004594
Sugarcane,Whole Year ,0,,2,1,2,0.45502661287078927,0.10995724859622256
Banana,Whole Year ,1,,2,2,1,0.3297384773755655,0.118395865237366
Cotton(lint),Kharif     ,1,,2,1,1,0.4358728019105077,0.06907223072996427
Cotton(lint),Rabi       ,1,,0,2,0,0.3756946920563097,0.13163603879530372
Groundnut,Kharif     ,1,,0,1,1,0.36245589869281036,0.1180768249106687
Groundnut,Rabi       ,3,,1,2,2,0.3945872777777778,0.16779925982644206
Onion,Kharif     ,3,,0,0,0,0.34631802111613874,0.16875638080653396
Onion,Rabi       ,0,,1,2,2,0.3434612433383609,0.04938744257274119
Potato,Kharif     ,0,,0,1,0,0.24725093715434887,0.14465288412455335
Potato,Rabi       ,1,,2,0,2,0.3571175811965811,0.08941105155691678
Ragi,Kharif     ,1,,2,1,0,0.3396203006535947,0.14835375191424194
Ragi,Rabi       ,1,,0,1,2,0.33690439994972343,0.14970967330270546
Rice,Kharif     ,1,,2,0,0,0.407255384364002,0.1339969372128637
Rice,Rabi       ,1,,2,0,0,0.42548757817998994,0.15980729964267482
Sugarcane,Whole Year ,1,,2,1,0,0.39332789115133227,0.14061702399183257
Wheat,Rabi       ,1,,2,2,2,0.4508860123177476,0.13634188361408883
Banana,Whole Year ,3,,2,1,1,0.419222870286576,0.13908563042368555
Cotton(lint),Kharif     ,3,,1,2,2,0.35356539542483656,0.09288859111791731
Onion,Whole Year ,3,,2,0,2,0.34091078783308193,0.09376595201633486
Potato,Whole Year ,0,,1,2,0,0.3994084140271492,0.1157797345584482
Rice,Autumn     ,0,,1,0,1,0.419087514580191,0.13854326186830015
Rice,Summer     ,1,,2,2,2,0.48123511613876313,0.10268312914752424
Rice,Winter     ,1,,2,0,1,0.46564904801407736,0.15521311893823378
Sugarcane,Whole Year ,1,,2,0,2,0.33498192508798386,0.13326314446145993
Wheat,Rabi       ,1,,2,1,2,0.36812421216691793,0.11522141398672792
Banana,Whole Year ,0,,2,1,1,0.4264216543489191,0.18442126084737112
Groundnut,Kharif     ,0,,0,2,1,0.45635981221719446,0.09800918836140889
Groundnut,Rabi       ,0,,2,1,1,0.44662917068878827,0.10657542113323124
Ragi,Kharif     ,0,,0,1,1,0.3709996606334841,0.10509188361408882
Rice,Kharif     ,0,,2,0,2,0.281245149321267,0.11510974987238387
Rice,Rabi       ,0,,2,2,0,0.30048242508798384,0.07243810617662072
Sugarcane,Whole Year ,1,,2,0,2,0.3963775902463549,0.16365173557937723
Cotton(lint),Kharif     ,1,,1,2,2,0.40162586073403705,0.12571784073506892
Cotton(lint),Rabi       ,1,,0,2,0,0.29296032880844647,0.11294027565084226
Cotton(lint),Summer     ,1,,1,1,1,0.3791782008547008,0.14415837161817255
Groundnut,Kharif     ,3,,2,2,2,0.4234206402714932,0.13308767228177643
Groundnut,Rabi       ,3,,0,1,1,0.28899748692810456,0.11914561000510465
Groundnut,Summer     ,3,,1,1,2,0.4591501158873805,0.1540645737621235
Onion,Kharif     ,0,,1,2,2,0.3473455643539467,0.13469882593159777
Onion,Rabi       ,0,,2,1,0,0.4706596113624937,0.12310171005615109
Onion,Summer     ,0,,1,2,1,0.33558679386626444,0.10633614088820827
Potato,Kharif     ,0,,0,1,2,0.29839425716440415,0.12968989280245022
Potato,Rabi       ,0,,0,2,0,0.34126669255907494,0.11158435426237875
Potato,Summer     ,0,,2,0,0,0.36864141855203614,0.13032797345584482
Ragi,Kharif     ,1,,2,0,2,0.3465198662644544,0.15929683511995918
Ragi,Rabi       ,1,,0,2,0,0.3595272936148819,0.15985515569167943
Ragi,Summer     ,1,,0,1,1,0.40100290221216695,0.15041156202143952
Rice,Kharif     ,1,,1,2,0,0.36290753871292103,0.17595074017355794
Rice,Rabi       ,1,,0,0,2,0.3708311417797888,0.11262123532414496
Rice,Summer     ,3,,0,2,2,0.2469160583207642,0.17028777437468096
Sugarcane,Whole Year ,0,,1,1,1,0.40535681372549004,0.18121490556406328
Wheat,Rabi       ,0,,0,1,1,0.3690897463549522,0.11739088820826954
Banana,Whole Year ,0,,1,2,1,0.4972568863750627,0.13836778968861665
Groundnut,Whole Year ,1,,0,2,1,0.3049598919054801,0.14990109749872382
Onion,Whole Year ,1,,2,2,2,0.23944479663147306,0.09749872383869321
Potato,Whole Year ,2,,1,1,1,0.4224284937154349,0.11065913731495661
Ragi,Whole Year ,3,,0,0,1,0.40195025263951734,0.1746586268504339
Rice,Autumn     ,1,,2,0,0,0.29976623780794354,0.10065722307299642
Rice,Summer     ,3,,2,0,0,0.26045131045751635,0.13013654925982646
Rice,Winter     ,0,,2,0,2,0.49175943162393154,0.1278554109239408
Sugarcane,Whole Year ,0,,0,2,1,0.4824618192559075,0.15007656967840735
Wheat,Whole Year ,0,,2,0,0,0.1882259859225741,0.0833971413986728
Banana,Kharif     ,1,,1,0,0,0.34126020387129197,0.1186191934660541
Cotton(lint),Kharif     ,1,,2,0,0,0.5013216732026142,0.09676493108728942
Onion,Rabi       ,1,,1,1,0,0.33991483986928095,0.14790709545686576
Potato,Summer     ,1,,1,0,2,0.33881757918552036,0.09426046452271568
Potato,Winter     ,1,,0,2,1,0.3544927606837607,0.14867279224093924
Rice,Autumn     ,1,,0,2,1,0.2912847933634992,0.18853688106176622
Rice,Rabi       ,3,,2,0,2,0.2472517036199095,0.07907414497192446
Rice,Winter     ,0,,0,2,0,0.45519461865258914,0.14714139867279225
Sugarcane,Whole Year ,0,,1,1,0,0.2368323097033685,0.1080430066360388
Wheat,Rabi       ,0,,1,1,0,0.3944649160382101,0.14465288412455335
Banana,Whole Year ,1,,2,1,0,0.44267819205630965,0.18016207248596222
Cotton(lint),Kharif     ,1,,0,0,0,0.2663730794369029,0.11469499744767737
Cotton(lint),Rabi       ,1,,1,1,1,0.3061134939668174,0.14275459418070444
Groundnut,Kharif     ,1,,1,1,1,0.46730863675213674,0.10415071465033181
Groundnut,Rabi       ,1,,1,1,2,0.41600490598290585,0.06452590607452782
Onion,Kharif     ,3,,1,1,1,0.3292645268979386,0.15526097498723837
Onion,Rabi       ,3,,0,2,0,0.4664843391151331,0.09491449719244512
Potato,Kharif     ,0,,0,2,1,0.46680762116641517,0.14288221031138335
Potato,Rabi       ,0,,0,0,1,0.3961075434891904,0.10949464012251149
Ragi,Kharif     ,0,,1,2,2,0.3079316068376068,0.12096413986727922
Ragi,Rabi       ,1,,2,2,2,0.3446368499245852,0.1131955079122001
Rice,Kharif     ,1,,1,1,2,0.3974147870789342,0.1187627616130679
Sugarcane,Whole Year ,1,,2,0,2,0.36159415560583197,0.12195316488004082
Banana,Whole Year ,1,,2,0,2,0.4466282435897435,0.14020227156712609
Cotton(lint),Kharif     ,3,,2,2,2,0.26044941578682757,0.06108027054619704
Cotton(lint),Rabi       ,3,,0,2,0,0.2631274361488185,0.12839777947932618
Groundnut,Kharif     ,0,,1,1,0,0.3894573486676721,0.11550855028075549
Groundnut,Rabi       ,0,,2,2,1,0.3387472790346908,0.11311574783052578
Onion,Kharif     ,1,,2,1,1,0.3285282594268476,0.09561638591117919
Onion,Rabi       ,1,,1,2,1,0.24247938260432372,0.08979389994895355
Potato,Kharif     ,1,,0,0,1,0.3772910389643036,0.15715926493108728
Potato,Rabi       ,1,,0,1,0,0.37183847863247854,0.09252169474221542
Ragi,Kharif     ,1,,0,1,1,0.42509896807440917,0.1058256763654926
Ragi,Rabi       ,1,,0,2,1,0.38101353443941677,0.07449591628381827
Rice,Kharif     ,1,,2,0,2,0.3658166860231271,0.08138718734047984
Rice,Rabi       ,3,,1,2,0,0.4645802390648567,0.11764612046962736
Sugarcane,Whole Year ,3,,0,2,0,0.27683755882352945,0.07767036753445636
Wheat,Rabi       ,3,,1,0,2,0.41626866918049266,0.12098009188361408
Banana,Kharif     ,0,,0,2,1,0.24978779562594267,0.11407286881061766
Cotton(lint),Kharif     ,0,,0,2,2,0.31259211563599787,0.05221094946401225
Groundnut,Kharif     ,1,,1,1,0,0.28436472096530907,0.13886230219499743
Groundnut,Rabi       ,1,,1,0,0,0.4347870188536953,0.06773226135783562
Groundnut,Summer     ,1,,0,2,2,0.3708840950226243,0.08301429300663604
Onion,Summer     ,1,,1,2,0,0.37479864932126694,0.23931214905564063
Ragi,Kharif     ,0,,2,0,1,0.2923529673202614,0.201298494129658
Rice,Kharif     ,0,,0,0,2,0.3532156739567621,0.19847498723838694
Rice,Rabi       ,0,,2,1,2,0.3182404245852186,0.22806597753956098
Rice,Summer     ,0,,1,0,1,0.40473516943187526,0.19777309851965286
Sugarcane,Kharif     ,0,,0,1,1,0.30107407214680737,0.23538795303726393
Banana,Whole Year ,0,,1,1,2,0.47610314479638005,0.1805927769270036
Cotton(lint),Kharif     ,1,,0,0,1,0.24945346028154847,0.19045112302194997
Onion,Whole Year ,1,,0,0,1,0.31499347662141775,0.2640696784073507
Potato,Whole Year ,1,,2,0,2,0.5023027031171442,0.30334354262378765
Rice,Autumn     ,1,,1,2,0,0.3430011000502765,0.23618555385400716
Rice,Summer     ,3,,0,1,2,0.27665570663650063,0.2125127616130679
Rice,Winter     ,3,,2,2,0,0.3923382275012569,0.1715320316488004
Sugarcane,Whole Year ,3,,1,2,0,0.33996539140271487,0.2996745788667688
Wheat,Rabi       ,0,,0,1,2,0.3127800208647561,0.24550153139356812
Banana,Kharif     ,0,,2,0,1,0.29317213599798886,0.2578643440530883
Cotton(lint),Kharif     ,0,,2,2,1,0.5845932835595776,0.3255168453292496
Onion,Rabi       ,0,,1,0,0,0.3568462619406737,0.18391079632465543
Potato,Summer     ,0,,1,2,2,0.23060075213675207,0.24259826442062277
Potato,Winter     ,0,,0,2,1,0.48846478833584706,0.20196847881572233
Rice,Autumn     ,1,,2,2,0,0.42190077224736044,0.28496681980602345
Rice,Rabi       ,1,,1,1,0,0.3180140952740069,0.2867693976518632
Rice,Winter     ,1,,0,1,0,0.3054460213675213,0.24256636038795304
Sugarcane,Whole Year ,1,,1,0,2,0.4266067971342382,0.2974732006125574
Wheat,Rabi       ,1,,2,2,0,0.3571957018602312,0.23492534456355282
Banana,Whole Year ,3,,2,1,2,0.2305697973856209,0.2103911434405309
Groundnut,Kharif     ,0,,0,1,0,0.5106013044243337,0.2532542113323124
Groundnut,Rabi       ,0,,0,1,0,0.34308769758672697,0.18816998468606433
Rice,Kharif     ,0,,1,0,1,0.4886052088989442,0.1834322358346095
Rice,Rabi       ,1,,1,1,2,0.4722298861236802,0.19284392547217968
Sugarcane,Whole Year ,1,,0,2,2,0.30032607767722475,0.20287774374680959
Cotton(lint),Kharif     ,1,,0,2,0,0.4537347810457516,0.20854070954568654
Cotton(lint),Rabi       ,1,,0,2,1,0.3266885960281548,0.24462417049515056
Cotton(lint),Summer     ,1,,1,1,0,0.2350401769733534,0.20365939254721796
Groundnut,Kharif     ,3,,0,0,2,0.3437960155857215,0.17146822358346095
Groundnut,Rabi       ,0,,1,0,0,0.4058047388134741,0.29511230219499746
Groundnut,Summer     ,0,,0,2,0,0.3409198104575163,0.2347020163348647
Onion,Kharif     ,3,,2,0,2,0.35266101005530415,0.23401607963246554
Onion,Rabi       ,3,,2,1,2,0.4620587765208647,0.17232963246554361
Onion,Summer     ,3,,0,0,2,0.3838482136752136,0.18526671771311895
Potato,Kharif     ,2,,2,2,0,0.3122198358471593,0.1594084992343032
Potato,Rabi       ,3,,2,0,0,0.428760456762192,0.2630647013782542
Potato,Summer     ,3,,2,1,2,0.390724653092006,0.2080781010719755
Ragi,Kharif     ,0,,0,0,0,0.18565071895424834,0.1813106176620725
Ragi,Rabi       ,0,,2,1,0,0.4081211347410758,0.25295112302194994
Ragi,Summer     ,2,,0,2,0,0.40536666968325785,0.23360132720775906
Rice,Kharif     ,1,,1,2,1,0.37733442408245355,0.20697741194486982
Rice,Rabi       ,0,,0,2,2,0.44306439768728,0.2349891526288923
Rice,Summer     ,1,,1,1,0,0.3251085784313724,0.21532031648800407
Sugarcane,Whole Year ,1,,2,2,2,0.4011940515334338,0.2427577845839714
Wheat,Rabi       ,0,,2,2,0,0.2576450952740069,0.17738642164369575
Banana,Whole Year ,0,,1,1,2,0.406517625691302,0.2258007912200102
Cotton(lint),Kharif     ,0,,2,0,0,0.5231065633484162,0.23983856559469116
Groundnut,Whole Year ,0,,0,0,0,0.3007901191553545,0.28723200612557426
Onion,Whole Year ,0,,0,0,0,0.3185166817496229,0.2559660541092394
Potato,Whole Year ,0,,2,0,2,0.3222713340874811,0.30000957120980093
Ragi,Whole Year ,0,,1,0,0,0.3856207812971342,0.27411944869831545
Rice,Autumn     ,0,,0,0,0,0.2956483453996983,0.22918261868300152
Rice,Summer     ,0,,0,0,0,0.407585272498743,0.26810553854007146
Rice,Winter     ,0,,0,1,1,0.43968124283559573,0.23573889739663093
Sugarcane,Whole Year ,0,,0,2,1,0.4161146716943187,0.30085502807554876
Wheat,Whole Year ,0,,2,1,1,0.2424523308195073,0.2528554109239408
Banana,Whole Year ,0,,0,1,1,0.4508673453996982,0.27751722817764163
Cotton(lint),Kharif     ,1,,1,1,2,0.446508351935646,0.2723487748851455
Cotton(lint),Rabi       ,1,,1,1,1,0.4384234318753142,0.198347371107708
Groundnut,Kharif     ,1,,1,2,0,0.40393481020613375,0.22388654925982643
Groundnut,Rabi       ,1,,1,0,1,0.39242252237305175,0.23830717202654417
Onion,Kharif     ,1,,0,1,0,0.45367441402714936,0.22592840735068911
Onion,Rabi       ,1,,1,1,1,0.520878342383107,0.2509890250127616
Potato,Kharif     ,1,,2,1,2,0.30394365535444945,0.1964012251148545
Potato,Rabi       ,1,,1,2,0,0.4571235844645549,0.27780436447166923
Ragi,Kharif     ,1,,2,0,1,0.3693149499748617,0.1619927258805513
Ragi,Rabi       ,1,,2,2,2,0.3660377285067873,0.1878190403266973
Rice,Kharif     ,1,,1,1,0,0.25993986752136744,0.17539241960183766
Sugarcane,Whole Year ,1,,1,2,2,0.3543396623931624,0.24215160796324653
Banana,Whole Year ,1,,0,2,1,0.3006084748617396,0.14739663093415006
Cotton(lint),Kharif     ,1,,2,1,0,0.3408355130718954,0.2159903011740684
Cotton(lint),Rabi       ,1,,0,1,2,0.29299750754147813,0.31411115364982134
Groundnut,Kharif     ,1,,1,0,1,0.3419626656611362,0.16111536498213372
Groundnut,Rabi       ,3,,1,1,2,0.3451902697335344,0.2027820316488004
Onion,Kharif     ,3,,2,0,2,0.3831137445952739,0.2063871873404798
Onion,Rabi       ,3,,0,2,2,0.2540409856711915,0.20893950995405816
Potato,Kharif     ,3,,0,0,2,0.26680355857214677,0.23337799897907094
Potato,Rabi       ,3,,1,1,0,0.4031106789844142,0.20367534456355282
Ragi,Kharif     ,3,,1,1,1,0.31567837229763696,0.2538603879530373
Ragi,Rabi       ,3,,1,1,0,0.4568524225741578,0.23165518121490555
Rice,Kharif     ,3,,1,2,1,0.3928056603821015,0.14755615109749873
Rice,Rabi       ,3,,2,1,0,0.4215758283056812,0.24567700357325167
Sugarcane,Whole Year ,0,,1,1,1,0.48220404625439917,0.1916634762633997
Wheat,Rabi       ,0,,0,1,1,0.3524602202111614,0.2396949974476774
Banana,Kharif     ,0,,1,0,0,0.33249220412267466,0.15288412455334355
Cotton(lint),Kharif     ,0,,0,2,0,0.4415562533936651,0.1668261868300153
Groundnut,Kharif     ,0,,2,0,0,0.4142418474107591,0.24435298621745788
Groundnut,Rabi       ,0,,1,1,2,0.36168951910507785,0.22004211332312404
Groundnut,Summer     ,0,,1,1,2,0.480753491704374,0.2478624298111281
Onion,Summer     ,0,,0,1,0,0.35981063524384116,0.21361345074017357
Ragi,Kharif     ,0,,1,2,0,0.3782886101055807,0.11822039305768248
Ragi,Rabi       ,1,,1,1,0,0.3774174949723479,0.18126276161306787
Ragi,Summer     ,1,,1,1,1,0.3053347993966816,0.17917304747320062
Rice,Kharif     ,0,,2,1,0,0.3816680786827551,0.2633039816232772
Rice,Rabi       ,0,,1,0,2,0.4811533567119155,0.23642483409903012
Rice,Summer     ,0,,1,2,2,0.4093741817496229,0.2412582950484941
Sugarcane,Kharif     ,1,,0,0,0,0.3781596349924584,0.2667177131189382
Banana,Whole Year ,1,,2,2,0,0.3636173494218199,0.18461268504338946
Cotton(lint),Kharif     ,1,,0,1,2,0.4007692581699346,0.20512697805002553
Onion,Whole Year ,3,,2,0,0,0.43236047988939164,0.17812021439509956
Potato,Whole Year ,3,,2,2,2,0.4217626065862241,0.2970265441551812
Rice,Autumn     ,3,,0,2,0,0.35078947737556554,0.20759954058192956
Rice,Summer     ,0,,2,2,1,0.4003103262946204,0.1253030883103624
Rice,Winter     ,1,,1,0,0,0.4120115439919557,0.21721860643185298
Sugarcane,Whole Year ,1,,0,0,0,0.2998596038210155,0.23966309341500766
Wheat,Rabi       ,1,,1,1,1,0.388504062845651,0.18529862174578868
Banana,Kharif     ,1,,0,0,0,0.21282273353443937,0.26689318529862177
Cotton(lint),Kharif     ,1,,0,2,1,0.412207167672197,0.1954281521184278
Onion,Rabi       ,1,,1,0,2,0.42561662041226733,0.18907924961715158
Potato,Summer     ,3,,1,0,2,0.43219302111613866,0.05229070954568657
Potato,Winter     ,3,,2,0,0,0.3460246214177979,0.05702845839714141
Rice,Autumn     ,3,,1,1,2,0.39912369306184003,0.05848009188361408
Rice,Rabi       ,0,,0,0,1,0.4832041613876319,0.0742566360387953
Rice,Winter     ,0,,1,2,2,0.48243612217194565,0.041570954568657476
Sugarcane,Whole Year ,0,,2,2,2,0.3736169406737053,0.0847530627871363
Wheat,Rabi       ,0,,0,0,2,0.38632375289089993,0.0608728943338438
Banana,Whole Year ,1,,2,1,0,0.4595961143790849,0.09997128637059724
Groundnut,Kharif     ,1,,1,2,2,0.2626343376068375,0.11278075548749361
Groundnut,Rabi       ,1,,1,1,2,0.35145230693815976,0.08660349668198061
Rice,Kharif     ,1,,1,2,0,0.4765387473604825,0.07136932108218479
Rice,Rabi       ,3,,0,2,2,0.4493615291603821,0.07449591628381827
Sugarcane,Whole Year ,0,,1,2,1,0.4036649404223227,0.07116194486983154
Cotton(lint),Kharif     ,0,,0,0,0,0.26225497184514823,0.09609494640122512
Cotton(lint),Rabi       ,0,,2,1,1,0.37205302413273,0.057443210821847876
